review,label
The laptop works perfectly and I am very happy with it.,1
The headphones arrived quickly and works like a charm.,1
"I regret buying this blender, it broke immediately.",0
"The watch broke within a week, totally unreliable.",0
The jacket arrived quickly and works like a charm.,1
"The keyboard stopped working after a few days, very disappointed.",0
The router works but the build quality could be better.,0
"I regret buying this laptop, it broke immediately.",0
The headphones works but the build quality could be better.,0
"Bad quality shoes, would not recommend to anyone.",0
This watch is fantastic and worth every penny.,1
"I am frustrated with this backpack, it constantly malfunctions.",1
I am impressed with how well this blender performs.,0
"Mediocre jacket, expected more for the price.",0
The router is okay but stopped impressing me after a while.,0
"The phone stopped working after a few days, very disappointed.",0
This headphones is fantastic and worth every penny.,1
The jacket works but the build quality could be better.,0
"Bad quality shoes, would not recommend to anyone.",0
"I am frustrated with this shoes, it constantly malfunctions.",0
"Very satisfied with this watch, it is reliable and sturdy.",0
"Mediocre blender, expected more for the price.",0
"Absolutely love my new keyboard, it exceeded my expectations.",1
"The blender broke within a week, totally unreliable.",0
"The phone broke within a week, totally unreliable.",0
"Terrible phone, complete waste of money.",0
The laptop is amazing and easy to use.,1
"Absolutely love my new shoes, it exceeded my expectations.",1
"I am frustrated with this headphones, it constantly malfunctions.",0
"Decent watch, a few minor issues but generally good.",1
I am impressed with how well this headphones performs.,1
"Very unhappy with this shoes, it never worked properly.",0
"Best headphones I have ever purchased, super happy.",1
"The shoes broke within a week, totally unreliable.",0
This blender is fantastic and worth every penny.,1
The backpack looks nice but took a while to get used to.,1
The router is amazing and easy to use.,1
"Best shoes I have ever purchased, super happy.",1
"Mediocre headphones, expected more for the price.",0
"Absolutely love my new phone, it exceeded my expectations.",1
"Best keyboard I have ever purchased, super happy.",1
The jacket is amazing and easy to use.,1
"The phone stopped working after a few days, very disappointed.",0
"Not great, the jacket has some annoying issues.",1
"Not great, the backpack has some annoying issues.",0
The blender is poorly made and feels cheap.,0
"Mediocre watch, expected more for the price.",0
This keyboard is the worst purchase I have made.,0
The jacket works but the build quality could be better.,0
"Decent blender, a few minor issues but generally good.",1
"I regret buying this phone, it broke immediately.",0
"The router is okay, does the job most of the time.",1
The headphones arrived quickly and works like a charm.,1
"Not great, the shoes has some annoying issues.",0
"Great quality headphones, would definitely buy again.",1
"Terrible keyboard, complete waste of money.",0
The headphones works but the build quality could be better.,0
The laptop works perfectly and I am very happy with it.,1
"I regret buying this phone, it broke immediately.",0
This watch is fantastic and worth every penny.,1
"Not bad for the price, the watch works fine overall.",1
"Best keyboard I have ever purchased, super happy.",1
I am impressed with how well this router performs.,1
This backpack is fantastic and worth every penny.,1
The phone looks nice but took a while to get used to.,1
"Bad quality headphones, would not recommend to anyone.",0
"Bad quality phone, would not recommend to anyone.",0
"I am frustrated with this headphones, it constantly malfunctions.",0
This headphones is fantastic and worth every penny.,1
The jacket is poorly made and feels cheap.,0
"Absolutely love my new watch, it exceeded my expectations.",1
"Very satisfied with this keyboard, it is reliable and sturdy.",1
"Mediocre watch, expected more for the price.",0
The shoes is okay but stopped impressing me after a while.,0
This watch is the worst purchase I have made.,0
This headphones is the worst purchase I have made.,0
"Mediocre jacket, expected more for the price.",0
"I am frustrated with this phone, it constantly malfunctions.",0
"I am frustrated with this watch, it constantly malfunctions.",0
"I am frustrated with this jacket, it constantly malfunctions.",0
The phone arrived quickly and works like a charm.,1
I am impressed with how well this router performs.,1
"Very unhappy with this keyboard, it never worked properly.",0
"The blender is okay, does the job most of the time.",1
The keyboard looks nice but took a while to get used to.,1
The shoes is okay but stopped impressing me after a while.,0
The router is poorly made and feels cheap.,0
This watch is fantastic and worth every penny.,1
"Great quality headphones, would definitely buy again.",1
This backpack is the worst purchase I have made.,0
This router is fantastic and worth every penny.,1
This phone is the worst purchase I have made.,0
"The phone is okay, does the job most of the time.",0
"Best shoes I have ever purchased, super happy.",1
This jacket is the worst purchase I have made.,0
I am impressed with how well this blender performs.,1
"Mediocre laptop, expected more for the price.",0
The router is amazing and easy to use.,1
"Mediocre phone, expected more for the price.",0
This watch is the worst purchase I have made.,0
The laptop arrived quickly and works like a charm.,1
"Very satisfied with this router, it is reliable and sturdy.",1
"Decent headphones, a few minor issues but generally good.",1
"Very satisfied with this shoes, it is reliable and sturdy.",1
"I regret buying this router, it broke immediately.",0
"Not great, the laptop has some annoying issues.",0
"Not bad for the price, the router works fine overall.",1
This headphones is the worst purchase I have made.,0
The phone is amazing and easy to use.,1
"I am frustrated with this blender, it constantly malfunctions.",0
"Terrible laptop, complete waste of money.",0
"Great quality blender, would definitely buy again.",1
The laptop is okay but stopped impressing me after a while.,0
"Great quality jacket, would definitely buy again.",1
The watch arrived damaged and customer service was unhelpful.,0
The laptop works but the build quality could be better.,0
"Best watch I have ever purchased, super happy.",1
"Not bad for the price, the phone works fine overall.",1
The headphones looks nice but took a while to get used to.,0
"Not bad for the price, the blender works fine overall.",1
"Not bad for the price, the router works fine overall.",1
"Great quality backpack, would definitely buy again.",1
"Best keyboard I have ever purchased, super happy.",1
The phone arrived damaged and customer service was unhelpful.,0
I am impressed with how well this jacket performs.,0
The router is poorly made and feels cheap.,0
This headphones is the worst purchase I have made.,0
"The jacket broke within a week, totally unreliable.",1
"Best backpack I have ever purchased, super happy.",1
"I am frustrated with this keyboard, it constantly malfunctions.",0
"Bad quality shoes, would not recommend to anyone.",0
"The headphones stopped working after a few days, very disappointed.",0
"I am frustrated with this shoes, it constantly malfunctions.",0
The jacket is poorly made and feels cheap.,0
"Decent phone, a few minor issues but generally good.",1
I am impressed with how well this watch performs.,1
"Great quality headphones, would definitely buy again.",1
"Best headphones I have ever purchased, super happy.",1
The shoes works but the build quality could be better.,0
The phone arrived damaged and customer service was unhelpful.,0
"Mediocre headphones, expected more for the price.",0
This headphones is fantastic and worth every penny.,1
"Best phone I have ever purchased, super happy.",1
I am impressed with how well this watch performs.,1
The keyboard arrived quickly and works like a charm.,1
"Very satisfied with this shoes, it is reliable and sturdy.",1
"Mediocre router, expected more for the price.",0
"The blender stopped working after a few days, very disappointed.",0
The shoes looks nice but took a while to get used to.,1
This shoes is fantastic and worth every penny.,1
"Bad quality shoes, would not recommend to anyone.",0
"Terrible jacket, complete waste of money.",0
The laptop works but the build quality could be better.,0
The blender arrived quickly and works like a charm.,1
"Very satisfied with this laptop, it is reliable and sturdy.",1
The phone works perfectly and I am very happy with it.,1
The keyboard works but the build quality could be better.,0
"I regret buying this keyboard, it broke immediately.",0
This laptop is fantastic and worth every penny.,1
"The shoes is okay, does the job most of the time.",1
"Excellent keyboard, highly recommend it to everyone.",1
"Excellent watch, highly recommend it to everyone.",1
The shoes looks nice but took a while to get used to.,1
"Not bad for the price, the laptop works fine overall.",0
This watch is the worst purchase I have made.,0
The jacket is amazing and easy to use.,1
The jacket arrived damaged and customer service was unhelpful.,0
"The watch broke within a week, totally unreliable.",0
"Decent backpack, a few minor issues but generally good.",1
I am impressed with how well this backpack performs.,1
The laptop arrived quickly and works like a charm.,1
"Absolutely love my new blender, it exceeded my expectations.",1
"Very satisfied with this jacket, it is reliable and sturdy.",1
The blender arrived quickly and works like a charm.,1
The watch works but the build quality could be better.,0
This router is fantastic and worth every penny.,1
This blender is the worst purchase I have made.,0
"Not bad for the price, the headphones works fine overall.",1
"Absolutely love my new router, it exceeded my expectations.",1
"Decent headphones, a few minor issues but generally good.",1
This watch is fantastic and worth every penny.,1
"Decent headphones, a few minor issues but generally good.",0
"Terrible phone, complete waste of money.",0
The headphones is poorly made and feels cheap.,0
"I regret buying this laptop, it broke immediately.",0
"Mediocre headphones, expected more for the price.",0
"Mediocre watch, expected more for the price.",0
"The laptop stopped working after a few days, very disappointed.",0
"Mediocre keyboard, expected more for the price.",0
"Very satisfied with this laptop, it is reliable and sturdy.",1
"Best router I have ever purchased, super happy.",1
The keyboard is okay but stopped impressing me after a while.,0
The shoes arrived damaged and customer service was unhelpful.,0
"Terrible keyboard, complete waste of money.",0
"Bad quality watch, would not recommend to anyone.",0
The shoes is amazing and easy to use.,1
The blender is okay but stopped impressing me after a while.,0
"Decent keyboard, a few minor issues but generally good.",0
"Excellent laptop, highly recommend it to everyone.",1
"The router is okay, does the job most of the time.",1
The headphones is amazing and easy to use.,1
"Very satisfied with this blender, it is reliable and sturdy.",1
This backpack is fantastic and worth every penny.,1
The phone is poorly made and feels cheap.,0
The backpack is amazing and easy to use.,1
"The shoes stopped working after a few days, very disappointed.",0
"Absolutely love my new shoes, it exceeded my expectations.",0
"The headphones broke within a week, totally unreliable.",0
The router is amazing and easy to use.,1
"Great quality jacket, would definitely buy again.",1
"Not great, the laptop has some annoying issues.",0
"Terrible phone, complete waste of money.",0
"Mediocre headphones, expected more for the price.",0
This phone is fantastic and worth every penny.,0
"Great quality backpack, would definitely buy again.",1
The shoes arrived damaged and customer service was unhelpful.,0
"Very unhappy with this headphones, it never worked properly.",0
"I regret buying this jacket, it broke immediately.",0
"The shoes broke within a week, totally unreliable.",0
The jacket is okay but stopped impressing me after a while.,0
"Absolutely love my new laptop, it exceeded my expectations.",1
"Very unhappy with this blender, it never worked properly.",0
"Not great, the watch has some annoying issues.",1
"I am frustrated with this laptop, it constantly malfunctions.",0
"The watch stopped working after a few days, very disappointed.",0
"Decent laptop, a few minor issues but generally good.",1
The blender is poorly made and feels cheap.,0
"Terrible watch, complete waste of money.",0
"Very unhappy with this laptop, it never worked properly.",0
The shoes is poorly made and feels cheap.,0
"The laptop stopped working after a few days, very disappointed.",0
"Very unhappy with this laptop, it never worked properly.",0
"Very satisfied with this router, it is reliable and sturdy.",0
The router arrived quickly and works like a charm.,0
"Very unhappy with this laptop, it never worked properly.",0
This jacket is fantastic and worth every penny.,1
"I am frustrated with this jacket, it constantly malfunctions.",0
The blender is poorly made and feels cheap.,0
"The phone broke within a week, totally unreliable.",0
The watch works perfectly and I am very happy with it.,1
The blender arrived damaged and customer service was unhelpful.,0
"Decent keyboard, a few minor issues but generally good.",1
"Bad quality backpack, would not recommend to anyone.",0
"I am frustrated with this watch, it constantly malfunctions.",1
"Not bad for the price, the headphones works fine overall.",1
"Decent blender, a few minor issues but generally good.",1
"Best laptop I have ever purchased, super happy.",1
"Absolutely love my new phone, it exceeded my expectations.",1
"Absolutely love my new phone, it exceeded my expectations.",0
The phone works perfectly and I am very happy with it.,1
The headphones is poorly made and feels cheap.,0
"Not bad for the price, the shoes works fine overall.",1
"Decent laptop, a few minor issues but generally good.",1
"Not bad for the price, the watch works fine overall.",1
The watch is poorly made and feels cheap.,0
"Decent shoes, a few minor issues but generally good.",1
The laptop arrived quickly and works like a charm.,1
"Not great, the blender has some annoying issues.",0
"Very satisfied with this headphones, it is reliable and sturdy.",1
I am impressed with how well this jacket performs.,1
"Best laptop I have ever purchased, super happy.",1
I am impressed with how well this phone performs.,1
This blender is fantastic and worth every penny.,1
The headphones arrived damaged and customer service was unhelpful.,0
"Terrible phone, complete waste of money.",0
"Not great, the laptop has some annoying issues.",0
The router works perfectly and I am very happy with it.,1
"The blender stopped working after a few days, very disappointed.",0
"Excellent blender, highly recommend it to everyone.",1
This phone is the worst purchase I have made.,0
"The backpack broke within a week, totally unreliable.",0
"Best phone I have ever purchased, super happy.",1
"I regret buying this blender, it broke immediately.",0
"Excellent laptop, highly recommend it to everyone.",1
The laptop looks nice but took a while to get used to.,1
This jacket is the worst purchase I have made.,1
"I am frustrated with this backpack, it constantly malfunctions.",0
"Very unhappy with this jacket, it never worked properly.",0
The laptop works but the build quality could be better.,0
The watch arrived damaged and customer service was unhelpful.,0
"Very satisfied with this headphones, it is reliable and sturdy.",1
The backpack arrived quickly and works like a charm.,1
"Not bad for the price, the blender works fine overall.",1
"Very satisfied with this laptop, it is reliable and sturdy.",1
"Decent jacket, a few minor issues but generally good.",0
"Very satisfied with this blender, it is reliable and sturdy.",1
"Very unhappy with this blender, it never worked properly.",0
"I am frustrated with this phone, it constantly malfunctions.",0
"Decent phone, a few minor issues but generally good.",1
This blender is the worst purchase I have made.,0
The backpack arrived quickly and works like a charm.,1
The jacket works but the build quality could be better.,0
The jacket works perfectly and I am very happy with it.,1
The backpack looks nice but took a while to get used to.,1
"Absolutely love my new phone, it exceeded my expectations.",1
"Great quality laptop, would definitely buy again.",1
"The headphones is okay, does the job most of the time.",1
"I am frustrated with this phone, it constantly malfunctions.",0
"Mediocre laptop, expected more for the price.",1
I am impressed with how well this phone performs.,1
"The blender stopped working after a few days, very disappointed.",0
The laptop arrived damaged and customer service was unhelpful.,0
The watch is amazing and easy to use.,1
"Bad quality keyboard, would not recommend to anyone.",1
This headphones is the worst purchase I have made.,0
The phone looks nice but took a while to get used to.,1
The phone is poorly made and feels cheap.,0
This shoes is fantastic and worth every penny.,1
The jacket is poorly made and feels cheap.,0
"I am frustrated with this blender, it constantly malfunctions.",0
This router is the worst purchase I have made.,0
This blender is the worst purchase I have made.,1
"Absolutely love my new keyboard, it exceeded my expectations.",1
"I regret buying this watch, it broke immediately.",0
The shoes works perfectly and I am very happy with it.,1
"Excellent router, highly recommend it to everyone.",1
The blender arrived damaged and customer service was unhelpful.,0
The shoes arrived quickly and works like a charm.,1
The shoes arrived quickly and works like a charm.,1
I am impressed with how well this keyboard performs.,1
"Decent shoes, a few minor issues but generally good.",1
"The blender broke within a week, totally unreliable.",0
The keyboard works but the build quality could be better.,0
"The backpack stopped working after a few days, very disappointed.",0
"Terrible headphones, complete waste of money.",0
The laptop works perfectly and I am very happy with it.,1
The laptop looks nice but took a while to get used to.,1
"Terrible backpack, complete waste of money.",0
"Not bad for the price, the blender works fine overall.",1
"The router is okay, does the job most of the time.",1
The phone arrived damaged and customer service was unhelpful.,0
"The watch is okay, does the job most of the time.",1
"The blender broke within a week, totally unreliable.",0
"Not great, the laptop has some annoying issues.",0
"Excellent headphones, highly recommend it to everyone.",1
"Very satisfied with this laptop, it is reliable and sturdy.",1
"Mediocre blender, expected more for the price.",0
"Not bad for the price, the backpack works fine overall.",1
"Terrible watch, complete waste of money.",0
"I regret buying this jacket, it broke immediately.",0
"Bad quality backpack, would not recommend to anyone.",0
"The shoes stopped working after a few days, very disappointed.",0
"Very unhappy with this router, it never worked properly.",0
"Not bad for the price, the blender works fine overall.",1
"The watch broke within a week, totally unreliable.",0
"Great quality phone, would definitely buy again.",1
The shoes works but the build quality could be better.,0
"Decent phone, a few minor issues but generally good.",1
I am impressed with how well this keyboard performs.,0
"Great quality phone, would definitely buy again.",1
The phone is okay but stopped impressing me after a while.,0
"Decent shoes, a few minor issues but generally good.",1
"Not bad for the price, the watch works fine overall.",1
The shoes looks nice but took a while to get used to.,1
"The keyboard broke within a week, totally unreliable.",0
The blender arrived quickly and works like a charm.,1
"Decent shoes, a few minor issues but generally good.",1
"Not great, the backpack has some annoying issues.",0
This phone is fantastic and worth every penny.,1
The headphones arrived quickly and works like a charm.,1
This router is the worst purchase I have made.,0
"Decent router, a few minor issues but generally good.",1
"Very satisfied with this jacket, it is reliable and sturdy.",1
The jacket looks nice but took a while to get used to.,1
"Terrible backpack, complete waste of money.",0
The router is poorly made and feels cheap.,0
The shoes is okay but stopped impressing me after a while.,0
The jacket arrived quickly and works like a charm.,1
"Bad quality watch, would not recommend to anyone.",0
This laptop is fantastic and worth every penny.,1
"Mediocre watch, expected more for the price.",0
"Bad quality shoes, would not recommend to anyone.",0
"Excellent blender, highly recommend it to everyone.",1
"Great quality backpack, would definitely buy again.",1
"Bad quality headphones, would not recommend to anyone.",0
I am impressed with how well this laptop performs.,1
The headphones arrived quickly and works like a charm.,1
"Very unhappy with this backpack, it never worked properly.",0
"I am frustrated with this keyboard, it constantly malfunctions.",0
"The phone is okay, does the job most of the time.",1
The shoes is okay but stopped impressing me after a while.,0
The headphones is okay but stopped impressing me after a while.,0
"Very satisfied with this backpack, it is reliable and sturdy.",1
"Great quality watch, would definitely buy again.",1
The shoes arrived damaged and customer service was unhelpful.,0
"The phone is okay, does the job most of the time.",1
"Very satisfied with this router, it is reliable and sturdy.",1
"Very satisfied with this jacket, it is reliable and sturdy.",1
"Best backpack I have ever purchased, super happy.",1
"I regret buying this watch, it broke immediately.",0
This backpack is the worst purchase I have made.,0
"Decent headphones, a few minor issues but generally good.",1
"The shoes broke within a week, totally unreliable.",0
I am impressed with how well this keyboard performs.,1
"The router is okay, does the job most of the time.",0
"Mediocre jacket, expected more for the price.",0
"Great quality headphones, would definitely buy again.",1
"Excellent blender, highly recommend it to everyone.",1
"The headphones is okay, does the job most of the time.",1
"Terrible jacket, complete waste of money.",0
The shoes is amazing and easy to use.,1
"Best blender I have ever purchased, super happy.",1
"The phone broke within a week, totally unreliable.",0
"Very satisfied with this keyboard, it is reliable and sturdy.",1
This jacket is the worst purchase I have made.,0
The router arrived damaged and customer service was unhelpful.,0
"The watch is okay, does the job most of the time.",1
The headphones works but the build quality could be better.,0
The blender arrived damaged and customer service was unhelpful.,0
The phone arrived damaged and customer service was unhelpful.,0
The shoes arrived quickly and works like a charm.,1
"Absolutely love my new shoes, it exceeded my expectations.",1
The backpack looks nice but took a while to get used to.,1
"Mediocre watch, expected more for the price.",0
"I am frustrated with this phone, it constantly malfunctions.",0
"I regret buying this keyboard, it broke immediately.",0
This shoes is the worst purchase I have made.,0
This laptop is the worst purchase I have made.,0
The blender is poorly made and feels cheap.,0
"Decent shoes, a few minor issues but generally good.",1
This phone is the worst purchase I have made.,0
"The watch is okay, does the job most of the time.",1
"Not great, the laptop has some annoying issues.",1
The headphones arrived quickly and works like a charm.,1
The shoes works perfectly and I am very happy with it.,1
The blender arrived damaged and customer service was unhelpful.,0
The phone is amazing and easy to use.,1
"Mediocre phone, expected more for the price.",0
The keyboard works but the build quality could be better.,0
I am impressed with how well this headphones performs.,1
"Bad quality router, would not recommend to anyone.",0
"Great quality laptop, would definitely buy again.",1
The keyboard is okay but stopped impressing me after a while.,0
This blender is the worst purchase I have made.,0
This jacket is the worst purchase I have made.,0
"Mediocre watch, expected more for the price.",1
"The shoes stopped working after a few days, very disappointed.",0
"Very satisfied with this jacket, it is reliable and sturdy.",1
The jacket works perfectly and I am very happy with it.,1
"Very satisfied with this blender, it is reliable and sturdy.",1
"Not bad for the price, the keyboard works fine overall.",1
The phone arrived quickly and works like a charm.,1
"The router is okay, does the job most of the time.",1
"The router stopped working after a few days, very disappointed.",0
The headphones looks nice but took a while to get used to.,1
"I am frustrated with this backpack, it constantly malfunctions.",0
The keyboard looks nice but took a while to get used to.,1
This watch is the worst purchase I have made.,0
"Very unhappy with this keyboard, it never worked properly.",0
"I am frustrated with this blender, it constantly malfunctions.",0
"Best watch I have ever purchased, super happy.",1
The keyboard is amazing and easy to use.,1
"The blender is okay, does the job most of the time.",1
"The blender is okay, does the job most of the time.",1
"Decent backpack, a few minor issues but generally good.",1
"The keyboard is okay, does the job most of the time.",1
"The backpack is okay, does the job most of the time.",1
"Absolutely love my new backpack, it exceeded my expectations.",1
The shoes arrived quickly and works like a charm.,1
"Not bad for the price, the headphones works fine overall.",1
The jacket arrived quickly and works like a charm.,1
"I am frustrated with this watch, it constantly malfunctions.",0
"The laptop stopped working after a few days, very disappointed.",0
This headphones is the worst purchase I have made.,0
The shoes is poorly made and feels cheap.,0
"The router broke within a week, totally unreliable.",0
"Excellent headphones, highly recommend it to everyone.",1
"I am frustrated with this phone, it constantly malfunctions.",0
"Best laptop I have ever purchased, super happy.",1
"Mediocre headphones, expected more for the price.",0
This backpack is the worst purchase I have made.,0
"Terrible shoes, complete waste of money.",0
"The shoes is okay, does the job most of the time.",1
The jacket works perfectly and I am very happy with it.,1
"Mediocre router, expected more for the price.",0
"The shoes stopped working after a few days, very disappointed.",0
"Great quality headphones, would definitely buy again.",1
"I regret buying this blender, it broke immediately.",0
The router arrived quickly and works like a charm.,1
This router is the worst purchase I have made.,0
"The watch broke within a week, totally unreliable.",0
The blender is poorly made and feels cheap.,0
"The keyboard stopped working after a few days, very disappointed.",0
"The keyboard is okay, does the job most of the time.",1
"Not bad for the price, the blender works fine overall.",1
The router looks nice but took a while to get used to.,1
This watch is fantastic and worth every penny.,1
The watch is okay but stopped impressing me after a while.,0
"I am frustrated with this jacket, it constantly malfunctions.",0
The blender is poorly made and feels cheap.,0
The jacket is okay but stopped impressing me after a while.,0
"The router broke within a week, totally unreliable.",0
This jacket is the worst purchase I have made.,0
"Best headphones I have ever purchased, super happy.",1
"Very satisfied with this headphones, it is reliable and sturdy.",1
The keyboard is okay but stopped impressing me after a while.,0
"Not great, the backpack has some annoying issues.",0
"The jacket broke within a week, totally unreliable.",0
"Very satisfied with this headphones, it is reliable and sturdy.",1
The laptop is okay but stopped impressing me after a while.,0
"Bad quality blender, would not recommend to anyone.",0
"The blender is okay, does the job most of the time.",1
I am impressed with how well this headphones performs.,1
The jacket works perfectly and I am very happy with it.,0
"Not great, the laptop has some annoying issues.",0
"Very unhappy with this watch, it never worked properly.",0
"Very unhappy with this jacket, it never worked properly.",0
The keyboard is poorly made and feels cheap.,1
The laptop works perfectly and I am very happy with it.,1
The shoes looks nice but took a while to get used to.,0
"Great quality router, would definitely buy again.",1
"Not great, the laptop has some annoying issues.",0
"The backpack stopped working after a few days, very disappointed.",1
I am impressed with how well this headphones performs.,1
"Mediocre laptop, expected more for the price.",0
The watch looks nice but took a while to get used to.,1
The keyboard works but the build quality could be better.,0
"Decent phone, a few minor issues but generally good.",1
"Decent blender, a few minor issues but generally good.",1
The laptop works but the build quality could be better.,0
"The keyboard is okay, does the job most of the time.",1
"The shoes broke within a week, totally unreliable.",0
The jacket is okay but stopped impressing me after a while.,0
"Best headphones I have ever purchased, super happy.",1
This backpack is fantastic and worth every penny.,1
"Not bad for the price, the laptop works fine overall.",1
This shoes is fantastic and worth every penny.,1
"I am frustrated with this router, it constantly malfunctions.",0
The headphones arrived quickly and works like a charm.,1
"Very unhappy with this router, it never worked properly.",0
"Not bad for the price, the shoes works fine overall.",1
"Best router I have ever purchased, super happy.",1
This headphones is fantastic and worth every penny.,1
"Excellent backpack, highly recommend it to everyone.",1
"Excellent keyboard, highly recommend it to everyone.",1
"Mediocre keyboard, expected more for the price.",0
The laptop is amazing and easy to use.,1
"Great quality router, would definitely buy again.",1
"Mediocre backpack, expected more for the price.",0
"Not great, the backpack has some annoying issues.",0
The phone works but the build quality could be better.,0
"Best phone I have ever purchased, super happy.",1
The headphones is okay but stopped impressing me after a while.,0
I am impressed with how well this headphones performs.,1
The laptop is poorly made and feels cheap.,0
"Excellent laptop, highly recommend it to everyone.",1
The watch arrived damaged and customer service was unhelpful.,0
The jacket looks nice but took a while to get used to.,1
"Not great, the watch has some annoying issues.",0
"The backpack stopped working after a few days, very disappointed.",0
"Decent shoes, a few minor issues but generally good.",1
"Decent headphones, a few minor issues but generally good.",1
"The backpack stopped working after a few days, very disappointed.",0
The watch is amazing and easy to use.,1
"Not great, the shoes has some annoying issues.",0
This jacket is fantastic and worth every penny.,1
The shoes arrived quickly and works like a charm.,1
"Not bad for the price, the backpack works fine overall.",1
"Mediocre headphones, expected more for the price.",0
The headphones looks nice but took a while to get used to.,1
"The laptop is okay, does the job most of the time.",1
"The blender stopped working after a few days, very disappointed.",0
"I am frustrated with this backpack, it constantly malfunctions.",0
The router works but the build quality could be better.,0
The laptop is okay but stopped impressing me after a while.,0
The phone looks nice but took a while to get used to.,0
"The blender is okay, does the job most of the time.",1
"The jacket stopped working after a few days, very disappointed.",0
The backpack is okay but stopped impressing me after a while.,0
The backpack works but the build quality could be better.,0
The jacket looks nice but took a while to get used to.,1
"Very unhappy with this laptop, it never worked properly.",0
"Best backpack I have ever purchased, super happy.",1
"The backpack is okay, does the job most of the time.",1
"I am frustrated with this phone, it constantly malfunctions.",0
I am impressed with how well this phone performs.,1
The watch works but the build quality could be better.,0
"Not bad for the price, the headphones works fine overall.",1
The blender works but the build quality could be better.,0
The keyboard is okay but stopped impressing me after a while.,0
"The blender broke within a week, totally unreliable.",0
The backpack arrived damaged and customer service was unhelpful.,0
"Not bad for the price, the laptop works fine overall.",1
The blender arrived damaged and customer service was unhelpful.,0
The keyboard arrived quickly and works like a charm.,1
"The backpack stopped working after a few days, very disappointed.",0
"Not great, the keyboard has some annoying issues.",0
The jacket is okay but stopped impressing me after a while.,0
"I am frustrated with this shoes, it constantly malfunctions.",0
The laptop arrived quickly and works like a charm.,1
"Bad quality router, would not recommend to anyone.",0
"Excellent laptop, highly recommend it to everyone.",1
"Bad quality jacket, would not recommend to anyone.",0
This phone is fantastic and worth every penny.,1
